"","OCCUPANCY_DATE","LOCATION_ADDRESS","LOCATION_POSTAL_CODE","LOCATION_CITY","LOCATION_PROVINCE","PROGRAM_MODEL","OVERNIGHT_SERVICE_TYPE","PROGRAM_AREA","CAPACITY_TYPE","SECTOR","SERVICE_USER_COUNT","CAPACITY_ACTUAL_BED","CAPACITY_FUNDING_BED","OCCUPIED_BEDS","CAPACITY_ACTUAL_ROOM","CAPACITY_FUNDING_ROOM","OCCUPIED_ROOMS","UNOCCUPIED_BEDS","UNAVAILABLE_BEDS","UNOCCUPIED_ROOMS","UNAVAILABLE_ROOMS","OCCUPANCY_RATE_BEDS","OCCUPANCY_RATE_ROOMS"
"2.102",2022-12-02,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",64,NA,NA,NA,33,49,31,NA,NA,2,16,NA,0.939393939393939
"5.75",2022-12-03,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",59,NA,NA,NA,33,34,21,NA,NA,12,1,NA,0.636363636363636
"5.160",2022-12-04,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",80,NA,NA,NA,44,45,30,NA,NA,14,1,NA,0.681818181818182
"4.5",2022-12-05,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",271,46,47,21,NA,NA,NA,25,1,NA,NA,0.456521739130435,NA
"3.67",2022-12-06,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",55,49,50,14,NA,NA,NA,35,1,NA,NA,0.285714285714286,NA
"5.246",2022-12-07,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",5,NA,NA,NA,48,48,37,NA,NA,11,0,NA,0.770833333333333
"1.227",2022-12-08,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",11,NA,NA,NA,46,49,39,NA,NA,7,3,NA,0.847826086956522
"4.200",2022-12-09,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",48,49,49,44,NA,NA,NA,5,0,NA,NA,0.897959183673469,NA
"5.156",2022-12-10,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",27,NA,NA,NA,44,46,0,NA,NA,44,2,NA,0
"3.261",2022-12-11,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",24,9,29,1,NA,NA,NA,8,20,NA,NA,0.111111111111111,NA
"5.50",2022-12-12,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",67,NA,NA,NA,44,44,27,NA,NA,17,0,NA,0.613636363636364
"1.72",2022-12-13,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",32,NA,NA,NA,47,47,14,NA,NA,33,0,NA,0.297872340425532
"2.142",2022-12-14,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",64,NA,NA,NA,32,35,18,NA,NA,14,3,NA,0.5625
"1.108",2022-12-15,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",60,NA,NA,NA,37,45,11,NA,NA,26,8,NA,0.297297297297297
"3.65",2022-12-16,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",1,43,47,35,NA,NA,NA,8,4,NA,NA,0.813953488372093,NA
"4.195",2022-12-17,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",76,40,47,4,NA,NA,NA,36,7,NA,NA,0.1,NA
"4.228",2022-12-18,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",15,13,30,4,NA,NA,NA,9,17,NA,NA,0.307692307692308,NA
"1.270",2022-12-19,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",92,NA,NA,NA,25,42,20,NA,NA,5,17,NA,0.8
"2.52",2022-12-20,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",33,NA,NA,NA,31,42,0,NA,NA,31,11,NA,0
"1.167",2022-12-21,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",41,NA,NA,NA,31,50,30,NA,NA,1,19,NA,0.967741935483871
"1.11",2022-12-22,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",276,NA,NA,NA,32,48,13,NA,NA,19,16,NA,0.40625
"4.258",2022-12-23,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",21,25,48,10,NA,NA,NA,15,23,NA,NA,0.4,NA
"3.167",2022-12-24,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",39,35,39,19,NA,NA,NA,16,4,NA,NA,0.542857142857143,NA
"4.265",2022-12-25,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",81,35,38,35,NA,NA,NA,0,3,NA,NA,1,NA
"5.241",2022-12-26,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",69,NA,NA,NA,32,42,23,NA,NA,9,10,NA,0.71875
"1.218",2022-12-27,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",48,NA,NA,NA,48,48,48,NA,NA,0,0,NA,1
"3.135",2022-12-28,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",146,49,49,45,NA,NA,NA,4,0,NA,NA,0.918367346938776,NA
"1.105",2022-12-29,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",103,NA,NA,NA,38,44,21,NA,NA,17,6,NA,0.552631578947368
"4.149",2022-12-30,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",43,30,43,2,NA,NA,NA,28,13,NA,NA,0.0666666666666667,NA
"2.125",2022-12-31,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",98,NA,NA,NA,27,39,2,NA,NA,25,12,NA,0.0740740740740741
"4.44",2023-01-01,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",49,45,46,36,NA,NA,NA,9,1,NA,NA,0.8,NA
"5.31",2023-01-02,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",0,NA,NA,NA,34,42,28,NA,NA,6,8,NA,0.823529411764706
"4.80",2023-01-03,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",49,49,49,6,NA,NA,NA,43,0,NA,NA,0.122448979591837,NA
"4.96",2023-01-04,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",239,48,48,15,NA,NA,NA,33,0,NA,NA,0.3125,NA
"3.180",2023-01-05,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",121,24,26,7,NA,NA,NA,17,2,NA,NA,0.291666666666667,NA
"2.265",2023-01-06,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",66,NA,NA,NA,45,49,44,NA,NA,1,4,NA,0.977777777777778
"3.19",2023-01-07,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",77,38,41,4,NA,NA,NA,34,3,NA,NA,0.105263157894737,NA
"2.283",2023-01-08,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",54,NA,NA,NA,24,34,21,NA,NA,3,10,NA,0.875
"4.156",2023-01-09,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",29,45,47,45,NA,NA,NA,0,2,NA,NA,1,NA
"4.293",2023-01-10,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",38,32,43,26,NA,NA,NA,6,11,NA,NA,0.8125,NA
"4.256",2023-01-11,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",99,31,36,3,NA,NA,NA,28,5,NA,NA,0.0967741935483871,NA
"3.149",2023-01-12,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",4,45,47,42,NA,NA,NA,3,2,NA,NA,0.933333333333333,NA
"2.269",2023-01-13,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",28,NA,NA,NA,47,49,6,NA,NA,41,2,NA,0.127659574468085
"2.149",2023-01-14,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",67,NA,NA,NA,48,50,47,NA,NA,1,2,NA,0.979166666666667
"2.20",2023-01-15,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",249,NA,NA,NA,45,48,29,NA,NA,16,3,NA,0.644444444444444
"3.84",2023-01-16,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",8,47,47,44,NA,NA,NA,3,0,NA,NA,0.936170212765957,NA
"1.281",2023-01-17,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",6,NA,NA,NA,42,48,26,NA,NA,16,6,NA,0.619047619047619
"4.188",2023-01-18,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",53,49,50,39,NA,NA,NA,10,1,NA,NA,0.795918367346939,NA
"1.76",2023-01-19,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",81,NA,NA,NA,33,49,15,NA,NA,18,16,NA,0.454545454545455
"3.242",2023-01-20,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",45,11,21,7,NA,NA,NA,4,10,NA,NA,0.636363636363636,NA
"2.263",2023-01-21,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",68,NA,NA,NA,36,44,36,NA,NA,0,8,NA,1
"1.282",2023-01-22,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",0,NA,NA,NA,41,41,34,NA,NA,7,0,NA,0.829268292682927
"3.247",2023-01-23,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",31,49,50,45,NA,NA,NA,4,1,NA,NA,0.918367346938776,NA
"1.294",2023-01-24,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",53,NA,NA,NA,13,28,1,NA,NA,12,15,NA,0.0769230769230769
"3.198",2023-01-25,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",117,49,49,47,NA,NA,NA,2,0,NA,NA,0.959183673469388,NA
"2.65",2023-01-26,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",33,NA,NA,NA,34,49,26,NA,NA,8,15,NA,0.764705882352941
"5.161",2023-01-27,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",26,NA,NA,NA,28,28,25,NA,NA,3,0,NA,0.892857142857143
"2.276",2023-01-28,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",31,NA,NA,NA,31,39,31,NA,NA,0,8,NA,1
"5.56",2023-01-29,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",77,NA,NA,NA,48,49,24,NA,NA,24,1,NA,0.5
"3.142",2023-01-30,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",29,48,48,25,NA,NA,NA,23,0,NA,NA,0.520833333333333,NA
"5.93",2023-01-31,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",25,NA,NA,NA,31,31,10,NA,NA,21,0,NA,0.32258064516129
"5.261",2023-02-01,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",246,NA,NA,NA,43,44,37,NA,NA,6,1,NA,0.86046511627907
"5.200",2023-02-02,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",260,NA,NA,NA,34,34,3,NA,NA,31,0,NA,0.0882352941176471
"3.8",2023-02-03,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",133,16,31,8,NA,NA,NA,8,15,NA,NA,0.5,NA
"1.84",2023-02-04,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",80,NA,NA,NA,42,48,29,NA,NA,13,6,NA,0.69047619047619
"3.56",2023-02-05,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",112,35,44,10,NA,NA,NA,25,9,NA,NA,0.285714285714286,NA
"1.236",2023-02-06,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",75,NA,NA,NA,33,42,0,NA,NA,33,9,NA,0
"4.99",2023-02-07,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",49,18,38,8,NA,NA,NA,10,20,NA,NA,0.444444444444444,NA
"3.88",2023-02-08,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",41,10,41,9,NA,NA,NA,1,31,NA,NA,0.9,NA
"3.197",2023-02-09,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",15,36,37,27,NA,NA,NA,9,1,NA,NA,0.75,NA
"5.27",2023-02-10,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",98,NA,NA,NA,30,42,19,NA,NA,11,12,NA,0.633333333333333
"4.260",2023-02-11,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",53,47,50,41,NA,NA,NA,6,3,NA,NA,0.872340425531915,NA
"1.87",2023-02-12,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",56,NA,NA,NA,12,46,11,NA,NA,1,34,NA,0.916666666666667
"5.8",2023-02-13,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",65,NA,NA,NA,36,48,33,NA,NA,3,12,NA,0.916666666666667
"3.108",2023-02-14,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",156,39,50,15,NA,NA,NA,24,11,NA,NA,0.384615384615385,NA
"4.113",2023-02-15,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",207,24,25,19,NA,NA,NA,5,1,NA,NA,0.791666666666667,NA
"3.109",2023-02-16,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",35,45,45,16,NA,NA,NA,29,0,NA,NA,0.355555555555556,NA
"2.245",2023-02-17,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",42,NA,NA,NA,41,42,39,NA,NA,2,1,NA,0.951219512195122
"3.173",2023-02-18,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",67,45,48,44,NA,NA,NA,1,3,NA,NA,0.977777777777778,NA
"2.161",2023-02-19,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",82,NA,NA,NA,47,49,46,NA,NA,1,2,NA,0.978723404255319
"1.91",2023-02-20,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",70,NA,NA,NA,20,36,4,NA,NA,16,16,NA,0.2
"5.16",2023-02-21,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",81,NA,NA,NA,48,48,43,NA,NA,5,0,NA,0.895833333333333
"5.293",2023-02-22,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",68,NA,NA,NA,42,50,27,NA,NA,15,8,NA,0.642857142857143
"3.256",2023-02-23,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",30,47,47,34,NA,NA,NA,13,0,NA,NA,0.723404255319149,NA
"2.66",2023-02-24,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",33,NA,NA,NA,37,44,4,NA,NA,33,7,NA,0.108108108108108
"2.9",2023-02-25,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",60,NA,NA,NA,9,31,2,NA,NA,7,22,NA,0.222222222222222
"2.78",2023-02-26,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",85,NA,NA,NA,41,49,41,NA,NA,0,8,NA,1
"4.291",2023-02-27,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",19,31,49,24,NA,NA,NA,7,18,NA,NA,0.774193548387097,NA
"4.95",2023-02-28,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",84,48,49,22,NA,NA,NA,26,1,NA,NA,0.458333333333333,NA
"1.237",2023-03-01,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",93,NA,NA,NA,43,45,26,NA,NA,17,2,NA,0.604651162790698
"1.31",2023-03-02,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",32,NA,NA,NA,31,33,0,NA,NA,31,2,NA,0
"2.32",2023-03-03,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",42,NA,NA,NA,30,43,26,NA,NA,4,13,NA,0.866666666666667
"4.242",2023-03-04,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",93,30,41,8,NA,NA,NA,22,11,NA,NA,0.266666666666667,NA
"5.234",2023-03-05,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",45,NA,NA,NA,34,36,13,NA,NA,21,2,NA,0.382352941176471
"4.216",2023-03-06,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",51,49,49,45,NA,NA,NA,4,0,NA,NA,0.918367346938776,NA
"2.127",2023-03-07,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",13,NA,NA,NA,40,49,25,NA,NA,15,9,NA,0.625
"2.19",2023-03-08,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",53,NA,NA,NA,11,20,2,NA,NA,9,9,NA,0.181818181818182
"3.139",2023-03-09,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",200,48,48,44,NA,NA,NA,4,0,NA,NA,0.916666666666667,NA
"5.201",2023-03-10,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",92,NA,NA,NA,14,50,5,NA,NA,9,36,NA,0.357142857142857
"2.85",2023-03-11,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",86,NA,NA,NA,48,49,47,NA,NA,1,1,NA,0.979166666666667
"2.160",2023-03-12,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",214,NA,NA,NA,44,45,27,NA,NA,17,1,NA,0.613636363636364
"2.13",2023-03-13,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",42,NA,NA,NA,36,44,8,NA,NA,28,8,NA,0.222222222222222
"2.284",2023-03-14,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",16,NA,NA,NA,46,49,45,NA,NA,1,3,NA,0.978260869565217
"1.193",2023-03-15,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",17,NA,NA,NA,37,49,27,NA,NA,10,12,NA,0.72972972972973
"5.90",2023-03-16,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",76,NA,NA,NA,31,42,16,NA,NA,15,11,NA,0.516129032258065
"1.68",2023-03-17,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",180,NA,NA,NA,18,38,12,NA,NA,6,20,NA,0.666666666666667
"4.101",2023-03-18,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",72,35,42,27,NA,NA,NA,8,7,NA,NA,0.771428571428571,NA
"1.74",2023-03-19,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",99,NA,NA,NA,41,46,15,NA,NA,26,5,NA,0.365853658536585
"5.194",2023-03-20,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",74,NA,NA,NA,44,49,44,NA,NA,0,5,NA,1
"5.288",2023-03-21,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",269,NA,NA,NA,39,49,20,NA,NA,19,10,NA,0.512820512820513
"2.272",2023-03-22,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",4,NA,NA,NA,48,50,47,NA,NA,1,2,NA,0.979166666666667
"5.91",2023-03-23,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",28,NA,NA,NA,46,48,36,NA,NA,10,2,NA,0.782608695652174
"3.244",2023-03-24,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",97,46,46,39,NA,NA,NA,7,0,NA,NA,0.847826086956522,NA
"5.162",2023-03-25,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",29,NA,NA,NA,21,23,3,NA,NA,18,2,NA,0.142857142857143
"5.53",2023-03-26,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",53,NA,NA,NA,40,40,8,NA,NA,32,0,NA,0.2
